airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,13994
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Multiple Carriers,2019-04-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,12537
Air Asia,2019-06-01,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Indigo,2019-04-27,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-06-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10151
Vistara,2019-03-06,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,7414
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,In-flight meal not included,9314
Indigo,2019-06-15,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Air India,2019-05-18,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No Info,11228
Indigo,2019-03-15,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2228
Indigo,2019-06-03,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6593
Vistara,2019-06-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,7354
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Vistara,2019-05-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6741
Indigo,2019-03-21,Banglore,New Delhi,13:40:00,18:35:00,295,1.0,No Info,7166
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,19:10:00,1355,1.0,In-flight meal not included,11087
Air Asia,2019-04-01,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Spicejet,2019-04-01,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Indigo,2019-03-24,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,6144
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9555
Air India,2019-03-03,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,13442
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-03-15,Banglore,New Delhi,08:50:00,15:15:00,385,1.0,No Info,8714
Air India,2019-04-27,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5228
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No Info,14571
Air India,2019-05-18,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8879
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Indigo,2019-06-03,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Jet Airways,2019-06-06,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Air India,2019-06-27,Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13591
Indigo,2019-06-27,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,11507
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,12898
Air Asia,2019-06-24,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,11467
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Indigo,2019-06-24,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,6442
Indigo,2019-06-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,4392
Jet Airways,2019-04-15,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,5443
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Air India,2019-06-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1.0,No Info,12395
Air India,2019-03-12,Banglore,New Delhi,17:25:00,18:05:00,1480,3.0,No Info,13387
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-06-24,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4256
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Indigo,2019-04-18,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,5780
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,7064
Jet Airways,2019-04-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-06-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,5224
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,6857
Indigo,2019-05-27,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-04-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,11733
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Vistara,2019-04-01,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Air India,2019-06-12,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Spicejet,2019-06-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Air India,2019-05-24,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,9929
Multiple Carriers,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13727
Indigo,2019-03-27,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,3384
Air Asia,2019-04-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Kolkata,Banglore,04:50:00,09:50:00,300,1.0,No Info,4176
Indigo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,4777
Jet Airways,2019-04-15,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,6542
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,22:55:00,435,1.0,No Info,12395
Goair,2019-04-27,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,5048
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Jet Airways,2019-06-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-04-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-05-09,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,14781
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,No Info,14714
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No Info,3873
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,09:30:00,640,1.0,No Info,17261
Air India,2019-03-21,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,8052
Indigo,2019-04-18,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Indigo,2019-03-09,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No Info,6860
Air India,2019-03-03,Banglore,New Delhi,08:15:00,23:10:00,895,1.0,No Info,6781
Spicejet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-05-27,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12898
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,20:25:00,1645,1.0,No Info,12102
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,In-flight meal not included,7832
Air India,2019-06-01,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,15481
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Indigo,2019-04-03,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,4729
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Spicejet,2019-06-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12898
Spicejet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Air India,2019-03-27,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,7416
Indigo,2019-03-21,Delhi,Cochin,14:20:00,22:20:00,480,1.0,No Info,6528
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Spicejet,2019-05-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Indigo,2019-06-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Indigo,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,6416
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,16:10:00,1175,1.0,In-flight meal not included,11087
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,14151
Air India,2019-05-06,Kolkata,Banglore,16:45:00,12:00:00,1155,2.0,No Info,14120
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,17024
Vistara,2019-06-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,8085
Indigo,2019-05-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Indigo,2019-06-09,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,17549
Spicejet,2019-06-09,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,9158
Spicejet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3911
Jet Airways,2019-06-24,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1.0,In-flight meal not included,9663
Indigo,2019-03-03,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air India,2019-06-27,Delhi,Cochin,05:15:00,07:40:00,1585,3.0,No Info,11543
Indigo,2019-05-01,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Multiple Carriers,2019-06-03,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Spicejet,2019-06-12,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Spicejet,2019-06-06,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5409
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Air India,2019-05-27,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Multiple Carriers,2019-03-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9100
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Jet Airways,2019-06-15,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Air India,2019-03-06,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No Info,11552
Air India,2019-03-03,Banglore,New Delhi,00:30:00,08:45:00,495,1.0,No Info,11392
Air India,2019-05-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Goair,2019-06-06,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Air Asia,2019-06-01,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Air Asia,2019-05-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-05-24,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,9941
Indigo,2019-05-18,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Jet Airways,2019-06-18,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,10406
Indigo,2019-05-15,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-04-06,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,4423
Vistara,2019-06-24,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9870
Indigo,2019-06-24,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Indigo,2019-06-18,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,10844
Air India,2019-06-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,10441
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,No Info,14714
Indigo,2019-03-09,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,In-flight meal not included,7886
Indigo,2019-03-24,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6144
Jet Airways,2019-05-18,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Indigo,2019-03-01,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,7295
Multiple Carriers,2019-05-27,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,9149
Multiple Carriers,2019-03-06,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,16863
Multiple Carriers,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,11667
Jet Airways,2019-05-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,3502
Indigo,2019-05-18,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Multiple Carriers,2019-03-06,Delhi,Cochin,10:00:00,18:50:00,530,1.0,No Info,16497
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,8610
Indigo,2019-05-21,Kolkata,Banglore,15:15:00,20:05:00,290,1.0,No Info,5170
Air India,2019-03-09,Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No Info,11260
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,7670
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,18:10:00,1515,1.0,No Info,14231
Goair,2019-04-21,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Spicejet,2019-04-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,No Info,12347
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9856
Indigo,2019-05-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,18:50:00,730,1.0,No Info,15135
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12849
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No Info,19225
Indigo,2019-04-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,4268
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,14714
Indigo,2019-05-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13727
Indigo,2019-04-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Air India,2019-03-12,Banglore,New Delhi,07:30:00,11:05:00,1655,2.0,No Info,11602
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Air India,2019-05-18,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,13696
Air India,2019-06-09,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,6245
Indigo,2019-05-09,Kolkata,Banglore,17:35:00,22:15:00,280,1.0,No Info,5386
Indigo,2019-04-15,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,5912
Indigo,2019-03-21,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,6860
Jet Airways,2019-05-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-05-15,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6979
Jet Airways,2019-05-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,21219
Jet Airways,2019-05-09,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,15554
Goair,2019-05-03,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Indigo,2019-04-27,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,5021
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,07:40:00,1365,1.0,In-flight meal not included,7412
Indigo,2019-03-06,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,7673
Indigo,2019-05-21,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,6794
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,11913
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,36235
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,12:00:00,375,1.0,In-flight meal not included,8586
Indigo,2019-05-18,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,6534
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5883
